itemId,itemType,userItemId,itemName,parentItemId,parentPresent
4a8d8802-ce63-45a7-a9dc-546dcdb1f6ef,Activity,CS-ROOF-A-1000,Roofing - Area A - Vapor Retarder,704cf504-85fa-468a-ae3c-a94c52d981fa,yes
4a93162d-06e2-4edf-81e9-27fe9ac33a66,Activity,MI-CON-1040,Building Dry In - Server Hall 3 (Areas I - J),740cb0f1-d536-4a17-adf3-d9b03ddd016c,yes
4b01da2d-d976-4663-ba3d-5a0edce56fa2,Activity,MI-CON-1160,Server Hall 2 - 24 MW Turnover Date (15-Feb-2028),585e25c1-a953-43a4-8ab7-b61f53df89ba,yes
4bb0259c-2d0a-4007-9b49-f5a55bd46e33,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.4.6.1.2.4.6.13,Area M,13023c24-2aca-4b2a-bf18-79fa4be7c76f,yes
4bd5f253-d676-4995-99ee-aa3618912851,Activity,OFCI-CDU-1040,Delivery of CDUs - #81 - 96 (16nr.),11ba89ad-7ef7-4f0c-afee-af572619b3b1,yes
4c2d4b6f-1d09-42ae-9feb-5c35ad91b601,Activity,CS-PAD-G-1070,Building Pad Concrete - Area G - Slab on Grade,02ed3bc0-4e93-4e7b-a6a8-ce45703f6a3f,yes
4c42ea37-db6a-4569-ba04-6135fb15c25e,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.4.1.2.4.1.1.2.4.2,Storm Line,434a0d7b-d608-47f0-9954-6bcf47478658,yes
4c4968c7-699d-4ecb-8b80-af8b9c55a237,Activity,CS-PAD-D-1000,Building Pad - Zone 1 Sitework (Pad Cut & Moisture Conditioning),45675c9d-a204-4a0f-8b4b-f6268a892144,yes
4c4c111e-6be8-40dc-aa5c-81c867cb0648,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.3.1.2.3.18111,Zone 9 (MYD3),428f8f37-2485-4f9e-8a22-5f829920002b,yes
4ce61df9-c3b7-45e7-b08d-9ef14f5cae32,Activity,MI-DES-1060,"60% Core & Shell (Civil, Shell, Building Power)",386fdd5e-97fe-4e9a-ae97-44e22ae3c1a9,yes
4d19662c-435f-40b0-91b0-395c8aa4c1d7,Activity,CS-STL-GEN-1010,Structural Steel - Crane 2 Mobilization for Structural Steel Erection,de505be5-3a40-4235-bc55-0896500b7460,yes
4d412b43-9bf2-40dc-8aaa-d7eff164f9e5,Activity,OFCI-SWB-1020,Delivery of Mech Switchboards - MYD3 (12nr.),de8c67c6-5b01-4b9d-b597-0817cf2e0ee8,yes
4d8327eb-d51d-4477-8d2e-1423e994502c,Activity,MI-CON-1410,Foundation Start,740cb0f1-d536-4a17-adf3-d9b03ddd016c,yes
4d9af21f-ddf6-4566-baba-db20c62c89e7,Activity,OFCI-CDU-3030,Delivery of CDUs - #73 - 96 (24nr.),11ba89ad-7ef7-4f0c-afee-af572619b3b1,yes
4df42408-4d4f-4b68-8f88-1a21d8acaea9,WBS,AUS02-60-Schedule-L1-.1.1.2.OFECRAC,CRAC Units,49d1ce1e-3acc-4124-b1ef-d3778dadcb85,NO
